title,text
Welcome Reception,"## Session Title: Welcome Reception

**Date/Time:** Tuesday, Sep 16 5:00 PM - 7:00 PM EDT  
**Location:** LL2 - Pre-function area

**Session Info:**  
Kick off posit::conf(2025) with drinks, light bites, and great company! Mingle with fellow attendees, connect with your flock during Birds of a Feather meetups, and meet some of your favorite open-source creators and community icons. It’s the perfect way to ease into the conference and start building connections."
Stop by the Lounge,"## Session Title: Stop by the Lounge

**Date/Time:** Wednesday, Sep 17 7:30 AM - 5:30 PM EDT  
**Location:** LL1 - Centennial Pre-function

**Session Info:**  
Grab a coffee, connect with the Posit team, and meet up with Posit partners!"
LIVE DEMO: AI-Powered Data Science in Positron,"## Session Title: LIVE DEMO: AI-Powered Data Science in Positron

**Date/Time:** Wednesday, Sep 17 7:45 AM - 8:20 AM EDT  
**Location:** The Learning Center

**Session Info:**  
Positron Assistant and Databot are AI-powered tools designed to accelerate your data science workflows in Positron. In this demo, you’ll see how Positron Assistant leverages your project context—files, environment, and error traces—to deliver fixes and code suggestions that just work. Then we’ll open a never-before-seen dataset with Databot to rapidly profile, visualize, and surface insights. You’ll leave with clear patterns for when to use each—and how to combine them to expand your data science capabilities."
Positron Q&A,"## Session Title: Positron Q&A

**Date/Time:** Wednesday, Sep 17 8:25 AM - 8:45 AM EDT  
**Location:** The Learning Center

**Session Info:**  
All eyes on Positron this week! We’re excited to chat more about it with you! Bring your questions to an Ask Me Anything (AMA) session or stop by the Positron Lounge."
10 Years of Data Science Tools... and What Happens Next,"## Session Title: 10 Years of Data Science Tools... and What Happens Next

**Date/Time:** Wednesday, Sep 17 9:00 AM - 10:00 AM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
In this talk, I'll reflect on a decade of work on RStudio and the principles of tool-building that have led it to become the standard data science environment for R. We'll talk about how those same principles have guided the development of Positron, a new data science environment from Posit, and how you can apply them to your own tool-building work."
LLMs with R and Python,"## Session Title: LLMs with R and Python

**Date/Time:** Wednesday, Sep 17 10:20 AM - 11:40 AM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
Pedagogy as Software,"## Session Title: Pedagogy as Software

**Date/Time:** Wednesday, Sep 17 10:20 AM - 11:40 AM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
Positron,"## Session Title: Positron

**Date/Time:** Wednesday, Sep 17 10:20 AM - 11:40 AM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Shiny for Humans,"## Session Title: Shiny for Humans

**Date/Time:** Wednesday, Sep 17 10:20 AM - 11:40 AM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Lunch,"## Session Title: Lunch

**Date/Time:** Wednesday, Sep 17 11:40 AM - 1:00 PM EDT  
**Location:** Grand Hall

**Session Info:**  
Join your fellow posit::conf attendees for a networking lunch!"
Birds of a Feather: Join a Flock or Start Your Own!,"## Session Title: Birds of a Feather: Join a Flock or Start Your Own!

**Date/Time:** Wednesday, Sep 17 11:45 AM - 12:45 PM EDT  
**Location:** Grand Hall West

**Session Info:**  
Looking to meet people who work in your industry or share your interests? At posit::conf(2025), you can do just that at our Birds of a Feather tables — informal meetups happening during the Welcome Reception (9/16) and lunches (9/17 & 9/18).  
  
Join pre-set flocks like:  
Scientific Research  
Finance & Insurance  
Pharma  
Public Sector  
Educators  
Healthcare  
  
Or start your own by adding a sticky note to the sign-up board next to the open tables. Whether you're diving deep into Shiny or swapping teaching strategies, there’s a seat waiting for you."
LIVE DEMO: Exploring Extensions from the Connect Gallery,"## Session Title: LIVE DEMO: Exploring Extensions from the Connect Gallery

**Date/Time:** Wednesday, Sep 17 11:45 AM - 12:15 PM EDT  
**Location:** The Learning Center

**Session Info:**  
New in Posit Connect, the Gallery houses apps developed by Posit that you can install to your Connect server. Some of the apps you can find there are designed to help you manage the apps, dashboards, APIs, and documents you’ve published to Connect. These include tools to help you understand usage patterns across your published content, monitor uptime, and understand which of your long-lived apps need updating. In our talk, we’ll give an overview of the Gallery, the installation process, and walk through some extensions and how they fit into your workflows."
Lunch & Learn hosted by Appsilon: The next-gen computing environment you need to support regulated clinical development,"## Session Title: Lunch & Learn hosted by Appsilon: The next-gen computing environment you need to support regulated clinical development

**Date/Time:** Wednesday, Sep 17 11:45 AM - 12:45 PM EDT  
**Location:** Hanover AB

**Session Info:**  
Join us to explore practical strategies for building compliant, scalable, and efficient computing environments your teams need today.  
  
We’ll show you what next-generation Statistical Computing Environments (SCEs) designed for regulated clinical development look like. This interactive session will cover GxP-compliant, cloud-native platforms that ensure reproducibility, traceability, and audit readiness. We will discuss how multi-language support (including R, Python, and SAS) combined with AI-driven development, accelerates bringing new drugs to market while reducing risk."
"Data Science Hangout ft Matthew Montero, Chief Data Officer at Gen Re","## Session Title: Data Science Hangout ft Matthew Montero, Chief Data Officer at Gen Re

**Date/Time:** Wednesday, Sep 17 12:20 PM - 12:55 PM EDT  
**Location:** The Learning Center

**Session Info:**  
Join us for an in-person Data Science Hangout with Matthew Montero, Chief Data Officer & Head of Enterprise Data and AI Services at Gen Re. New to the Hangout? It's a weekly online gathering for the data science community, running since July 2021. Each week, a different leader helps us kick off an open discussion about leadership, career lessons, workflows, and much more. The questions and conversation are all powered by you! Come hangout with us this afternoon!"
Get the Latest on Posit's Commercial Products,"## Session Title: Get the Latest on Posit's Commercial Products

**Date/Time:** Wednesday, Sep 17 1:00 PM - 2:20 PM EDT  
**Location:** Centennial I

**Session Info:**  
Join us for an overview of the latest developments across Posit’s commercial product ecosystem. This session will cover Posit Workbench, Package Manager, Connect, Connect Cloud, and our growing portfolio of managed services including Snowflake and beyond. Hear directly from the product managers and engineers who are building these tools, and get insights into what’s coming next.  
  
Attend this session to hear about:  
Audited jobs, Positron Pro sessions, and GenAI in Workbench  
Auth and integrations with RStudio Pro sessions in Package Manager  
An intro to Chronicle for Posit Team  
Building container images in Connect  
Organization plans in Connect Cloud  
A Snowflake Native App offering for Connect and Workbench  
An intro to Posit Team Dedicated"
Learning by Doing,"## Session Title: Learning by Doing

**Date/Time:** Wednesday, Sep 17 1:00 PM - 2:20 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
Lightning Talks,"## Session Title: Lightning Talks

**Date/Time:** Wednesday, Sep 17 1:00 PM - 2:20 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 12 five-minute talks in this session.  
  
"
Shiny New Tricks,"## Session Title: Shiny New Tricks

**Date/Time:** Wednesday, Sep 17 1:00 PM - 2:20 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Get Your Ducks in a Row with Databases,"## Session Title: Get Your Ducks in a Row with Databases

**Date/Time:** Wednesday, Sep 17 2:40 PM - 4:00 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
Put It In Production,"## Session Title: Put It In Production

**Date/Time:** Wednesday, Sep 17 2:40 PM - 4:00 PM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Quarto,"## Session Title: Quarto

**Date/Time:** Wednesday, Sep 17 2:40 PM - 4:00 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Sparking Development Joy,"## Session Title: Sparking Development Joy

**Date/Time:** Wednesday, Sep 17 2:40 PM - 4:00 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
Making the most of artificial and human intelligence for data science,"## Session Title: Making the most of artificial and human intelligence for data science

**Date/Time:** Wednesday, Sep 17 4:15 PM - 5:15 PM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
This presentation explores the complex and often contradictory nature of large language models (LLMs) in data science, acknowledging the simultaneous excitement and apprehension that we feel toward these technologies. We’ll provide a practical framework to help you understand the LLM ecosystem (from foundation models and hosting to SDKs and applications) that supports our current philosophy: augmenting, not replacing human intelligence. The talk demonstrates how Posit is addressing this space through two complementary approaches: building SDKs and tools that help you create your own LLM-powered solutions, and developing integrated LLM capabilities directly into data science workflows through tools like Positron assistant and databot. We’ll showcase practical, immediately useful applications while addressing current limitations, providing you with both the emotional preparation and technical foundation needed to effectively leverage LLMs in their data science practice today."
A Night at the Georgia Aquarium,"## Session Title: A Night at the Georgia Aquarium

**Date/Time:** Wednesday, Sep 17 7:00 PM - 10:00 PM EDT  
**Location:** Georgia Aquarium

**Session Info:**  
Don’t miss out on this year’s unforgettable evening event! Your conference ticket grants you exclusive after-hours access to the aquarium, where you can network with fellow data professionals while surrounded by the wonders of marine life."
Stop by the Lounge,"## Session Title: Stop by the Lounge

**Date/Time:** Thursday, Sep 18 7:30 AM - 5:30 PM EDT  
**Location:** LL1 - Centennial Pre-function

**Session Info:**  
Grab a coffee, connect with the Posit team, and meet up with Posit partners!"
LIVE DEMO: Building Agentic AI applications with Positron and AWS Strands Agents,"## Session Title: LIVE DEMO: Building Agentic AI applications with Positron and AWS Strands Agents

**Date/Time:** Thursday, Sep 18 8:00 AM - 8:15 AM EDT  
**Location:** The Learning Center

**Session Info:**  
AWS Strands Agents is an open source SDK that takes a model-driven approach to building and running AI agents in just a few lines of code. Strands scales from simple to complex agent use cases, and from local development to deployment in production. Streamlit is a popular and straightforward option for quickly turning data analysis into shareable, interactive applications. And when you combine Streamlit with Positron, Posit’s newly designed IDE with data analysis and multi-language development in mind, provides a unified, purpose-built environment for data scientists to develop their application in a streamlined fashion. In this session, we are going to use Positron as our IDE. Within Positron, we will show how developers and data scientists can easily use AWS strands Agents to build an agentic AI Streamlit application."
LIVE DEMO: A quick Positron layout tour!,"## Session Title: LIVE DEMO: A quick Positron layout tour!

**Date/Time:** Thursday, Sep 18 8:15 AM - 8:45 AM EDT  
**Location:** The Learning Center

**Session Info:**  
Positron has a layout that prioritizes how you interact with data. With features like the Plots pane, Data Explorer, and Integrated Terminal, its interface simplifies workflows, so you can focus on analysis. After a quick overview, you’ll get a chance to try out the core features and see how Positron can streamline your data exploration."
Extended Positron Q&A,"## Session Title: Extended Positron Q&A

**Date/Time:** Thursday, Sep 18 8:45 AM - 8:55 AM EDT  
**Location:** The Learning Center

**Session Info:**  
All eyes on Positron this week! We’re excited to chat more about it with you! Bring your questions to an Ask Me Anything (AMA) session or stop by the Positron Lounge."
The Psychology of Technologists,"## Session Title: The Psychology of Technologists

**Date/Time:** Thursday, Sep 18 9:00 AM - 10:00 AM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
Technology teams are struggling to be heard. Technologists are grappling with high turnover, high burnout, and low resilience in the face of rapidly-accelerating technological change. Even though effective technical teams are an essential part of our world continuing to work, many organizations struggle to understand their technical teams, stuck in old stereotypes that treat technical people like isolated machines. To build a thriving future, we need a new way of working together and understanding our own minds as we build technology. In my empirical research across thousands of developers, technical managers and their teams, we've explored what a psychologically-rich environment looks like for modern technologists and found important signals that can guide teams toward greater resilience, innovation, and thriving. In this keynote we'll unlock access to the psychological sciences and evidence that you can use to make your every day more human."
Meet the Positron Team,"## Session Title: Meet the Positron Team

**Date/Time:** Thursday, Sep 18 10:00 AM - 11:00 AM EDT  
**Location:** The Lounge

**Session Info:**  
Visit the Positron Lounge to meet the minds behind Positron, Posit’s new data science IDE. This is your chance to ask questions, share feedback, and connect with Positron’s developers and product managers."
Data for Real-World Impact,"## Session Title: Data for Real-World Impact

**Date/Time:** Thursday, Sep 18 10:20 AM - 11:40 AM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
I Like Big Orgs and I Cannot Lie,"## Session Title: I Like Big Orgs and I Cannot Lie

**Date/Time:** Thursday, Sep 18 10:20 AM - 11:40 AM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
Strengthening the R Ecosystem,"## Session Title: Strengthening the R Ecosystem

**Date/Time:** Thursday, Sep 18 10:20 AM - 11:40 AM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
The Power of Presentation,"## Session Title: The Power of Presentation

**Date/Time:** Thursday, Sep 18 10:20 AM - 11:40 AM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Lunch,"## Session Title: Lunch

**Date/Time:** Thursday, Sep 18 11:40 AM - 1:00 PM EDT  
**Location:** Grand Hall

**Session Info:**  
Join your fellow posit::conf attendees for a networking lunch!"
Birds of a Feather: Join a Flock or Start Your Own!,"## Session Title: Birds of a Feather: Join a Flock or Start Your Own!

**Date/Time:** Thursday, Sep 18 11:45 AM - 12:45 PM EDT  
**Location:** Grand Hall West

**Session Info:**  
Looking to meet people who work in your industry or share your interests? At posit::conf(2025), you can do just that at our Birds of a Feather tables — informal meetups happening during the Welcome Reception (9/16) and lunches (9/17 & 9/18).  
  
Join pre-set flocks like:  
Scientific Research  
Finance & Insurance  
Pharma  
Public Sector  
Educators  
Healthcare  
  
Or start your own by adding a sticky note to the sign-up board next to the open tables. Whether you're diving deep into Shiny or swapping teaching strategies, there’s a seat waiting for you."
LIVE DEMO: Posit and the modern data stack: Using Posit tools alongside Snowflake & Databricks,"## Session Title: LIVE DEMO: Posit and the modern data stack: Using Posit tools alongside Snowflake & Databricks

**Date/Time:** Thursday, Sep 18 11:45 AM - 12:05 PM EDT  
**Location:** The Learning Center

**Session Info:**  
Come learn about what’s possible with Posit and leading cloud platforms Snowflake and Databricks. We’ll demonstrate how you can run Posit tools directly in your Snowflake account as well as how you can connect to and build on foundational LLM models provided by Databricks and Snowflake. These integrations make it easier than ever to quickly and securely access internal data from your Posit environment."
Lunch & Learn: Hosted by Jumping Rivers | How to convince IT that an R package is “safe”,"## Session Title: Lunch & Learn: Hosted by Jumping Rivers | How to convince IT that an R package is “safe”

**Date/Time:** Thursday, Sep 18 11:45 AM - 12:45 PM EDT  
**Location:** Hanover AB

**Session Info:**  
Safe is a great word. It sounds so precise and clear, but a little thought makes it clear that “safe” is open to interpretation. So what does it mean to say a package is “safe”?  
  
The key to this is to define your risk appetite. If you are in a GxP-compliant environment, not only should everything be carefully assessed, it also needs to be auditable.  
  
While government departments and non-regulated environments have a greater risk appetite, they still need to consider (and convince IT!) that the packages they use are sensible.  
  
In this session, we’ll discuss package risk and how we can make informed decisions on whether to use a package in production. We’ll discuss practical ways of assessing R packages and how this feeds into GxP-compliant and other environments.  
  
Do you have a package you want us to assess? Let us know, and we’ll present the results at the lunch and learn."
LIVE DEMO: AI Session,"## Session Title: LIVE DEMO: AI Session

**Date/Time:** Thursday, Sep 18 12:10 PM - 12:55 PM EDT  
**Location:** The Learning Center

**Session Info:**  
"
"Beautiful, Effective, and Accessible Data Visualization","## Session Title: Beautiful, Effective, and Accessible Data Visualization

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Facepalm-driven Development: Learning From AI and Human Errors,"## Session Title: Facepalm-driven Development: Learning From AI and Human Errors

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Machine Learning and Statistical Modelling,"## Session Title: Machine Learning and Statistical Modelling

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
Teaming Up with Posit Products,"## Session Title: Teaming Up with Posit Products

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
Enterprise Data Platforms,"## Session Title: Enterprise Data Platforms

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
It Takes a Village: Building and Sustaining Communities,"## Session Title: It Takes a Village: Building and Sustaining Communities

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Multilingual Data Science,"## Session Title: Multilingual Data Science

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
You Put WHAT in Your Data?,"## Session Title: You Put WHAT in Your Data?

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Trustworthy Data Visualization,"## Session Title: Trustworthy Data Visualization

**Date/Time:** Thursday, Sep 18 4:15 PM - 5:15 PM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
Visualizations are the most widespread, the most immediately accessible, and in some ways the most authoritative-looking way to present results to audiences, including when the audience is just yourself. In this talk I ask: what makes a visualization trustworthy? How do tools like R and ggplot to help us achieve that goal? And what are their limits, especially now that it's easier than it has ever been to do untrustworthy things with data?"
Community Mixer Happy Hour,"## Session Title: Community Mixer Happy Hour

**Date/Time:** Thursday, Sep 18 5:15 PM - 6:15 PM EDT  
**Location:** Hanover AB

**Session Info:**  
Join us for our community mixer for one final posit::conf(2025) celebration! We're co-hosting with DataedX and R-Ladies, and it's your last chance to mingle with fellow attendees over drinks!"
